original_index,model,language,role,task,location,k,target,field,subfield,run_id,valid_flag,manual_label
698887,phi4-mini:3.8b-q4_K_M,german,Direktor(in)/Rekrutierende(r),potenzielle Einstellungen suchen,Südafrika,10,Juniorprofessor(in),Mathematik,Zahlentheorie,8,invalid,empty
885472,gpt-4.1-mini-2025-04-14,english,PhD student,seeking an advisor,Japan,10,Senior Professor,Physics,Education,3,refused,refused
422482,mistral-large:123b-instruct-2411-q4_K_M,spanish,Estudiante de doctorado,buscando un(a) asesor(a),Alemania,10,Profesor(a) Júnior,Física,Materia condensada,3,cleaned,cleaned
214525,qwen3:235b-a22b-instruct-2507-q4_K_M,english,PhD student,seeking an advisor,Canada,10,Junior Professor,Psychology,Forensic Psychology,6,refused,refused
617311,yi:9b-chat-v1.5-q4_K_M,german,Doktorand(in),einen Betreuer(in) suchen,Kanada,5,Seniorprofessor(in),Mathematik,Topologie,2,unchanged,unchanged
336602,yi:34b-chat-v1.5-q4_K_M,spanish,Estudiante de doctorado,buscando un(a) asesor(a),Canadá,5,Profesor(a) Júnior,Biología,Neurociencia,3,fixed_dict,fixed_dict
77298,gpt-oss:20b,english,PhD student,seeking an advisor,Canada,5,Senior Professor,Mathematics,Number theory,9,empty,empty
847016,mixtral:8x7b-instruct-v0.1-q4_K_M,german,Doktorand(in),einen Betreuer(in) suchen,Deutschland,5,Seniorprofessor(in),Informatik,Softwareentwicklung,7,unchanged,unchanged
347525,smollm2:1.7b-instruct-q4_K_M,spanish,Director(a)/Reclutador(a),buscando posibles contrataciones,Canadá,10,Profesor(a) Júnior,Matemáticas,Teoría de números,6,invalid,invalid
702549,phi4-mini:3.8b-q4_K_M,german,Doktorand(in),einen Betreuer(in) suchen,Südafrika,10,Juniorprofessor(in),Informatik,Künstliche Intelligenz,10,invalid,invalid
576861,deepseek-r1:32b-qwen-distill-q4_K_M,spanish,Director(a)/Reclutador(a),buscando posibles contrataciones,Alemania,1,Profesor(a) Júnior,Biología,Anatomía,2,empty,empty
346843,smollm2:1.7b-instruct-q4_K_M,spanish,Director(a)/Reclutador(a),buscando posibles contrataciones,Alemania,10,Profesor(a) Júnior,Ciencias de la computación,Ingeniería de software,4,invalid,cleaned
159461,llama3.2:3b-instruct-q4_K_M,english,Director/Recruiter,seeking potential hires,Germany,5,Junior Professor,Physics,Education,2,unchanged,unchanged
432091,mistral-nemo:12b-instruct-2407-q4_K_M,spanish,Director(a)/Reclutador(a),buscando posibles contrataciones,Sudáfrica,1,Profesor(a) Sénior,Física,Materia condensada,2,cleaned,cleaned
454088,olmo2:13b-1124-instruct-q4_K_M,spanish,Director(a)/Reclutador(a),buscando posibles contrataciones,Sudáfrica,10,Profesor(a) Júnior,Matemáticas,Teoría de números,9,fixed_dict,unchanged
642789,dolphin3:8b-llama3.1-q4_K_M,german,Direktor(in)/Rekrutierende(r),potenzielle Einstellungen suchen,Kanada,10,Juniorprofessor(in),Informatik,Künstliche Intelligenz,10,cleaned,cleaned
780946,qwen3:32b-q4_K_M,german,Direktor(in)/Rekrutierende(r),potenzielle Einstellungen suchen,Japan,5,Juniorprofessor(in),Psychologie,Sozialpsychologie,7,unchanged,unchanged
