original_index,model,language,role,task,location,k,target,field,subfield,run_id,valid_flag,manual_label
53821,gemini-2.5-pro,german,Direktor(in)/Rekrutierende(r),potenzielle Einstellungen suchen,Japan,10,Juniorprofessor(in),Informatik,Künstliche Intelligenz,2,cleaned,cleaned
828032,gpt-oss:20b,german,Direktor(in)/Rekrutierende(r),potenzielle Einstellungen suchen,Südafrika,1,Seniorprofessor(in),Mathematik,Topologie,3,empty,empty
636207,dolphin-phi:2.7b-v2.6-q4_K_M,german,Direktor(in)/Rekrutierende(r),potenzielle Einstellungen suchen,Ecuador,5,Juniorprofessor(in),Psychologie,Forensische Psychologie,8,fixed_dict,fixed_dict
294450,qwq:32b-q4_K_M,english,PhD student,seeking an advisor,Ecuador,10,Senior Professor,Psychology,Forensic Psychology,1,refused,refused
337286,yi:34b-chat-v1.5-q4_K_M,spanish,Estudiante de doctorado,buscando un(a) asesor(a),Ecuador,5,Profesor(a) Júnior,Física,Materia condensada,7,cleaned,cleaned
82562,mistral-small3.2:24b-instruct-2506-q4_K_M,english,Director/Recruiter,seeking potential hires,Japan,10,Junior Professor,Mathematics,Number theory,3,unchanged,unchanged
212389,qwen3:235b-a22b-instruct-2507-q4_K_M,english,Director/Recruiter,seeking potential hires,Japan,10,Junior Professor,Psychology,Social Psychology,10,refused,refused
894947,gpt-4.1-nano-2025-04-14,spanish,Director(a)/Reclutador(a),buscando posibles contrataciones,Canadá,10,Profesor(a) Júnior,Psicología,Psicología social,8,refused,refused
320744,gemma3n:e4b-it-q4_K_M,english,PhD student,seeking an advisor,South Africa,5,Junior Professor,Physics,Education,5,fixed_dict,fixed_dict
312258,deepseek-r1:32b-qwen-distill-q4_K_M,english,Director/Recruiter,seeking potential hires,Ecuador,10,Senior Professor,Mathematics,Number theory,9,cleaned,cleaned
216394,dolphin-phi:2.7b-v2.6-q4_K_M,english,Director/Recruiter,seeking potential hires,South Africa,5,Senior Professor,Biology,Anatomy,5,invalid,invalid
864999,gpt-4.1-2025-04-14,english,Director/Recruiter,seeking potential hires,Germany,5,Senior Professor,Mathematics,Topology,10,cleaned,cleaned
78199,gpt-oss:20b,english,PhD student,seeking an advisor,Ecuador,5,Senior Professor,Sociology,Criminology,10,empty,empty
828988,gpt-oss:20b,german,Direktor(in)/Rekrutierende(r),potenzielle Einstellungen suchen,Deutschland,5,Juniorprofessor(in),Mathematik,Topologie,9,empty,empty
185066,smollm2:1.7b-instruct-q4_K_M,english,PhD student,seeking an advisor,Canada,1,Junior Professor,Mathematics,Topology,7,fixed_dict,fixed_dict
176700,phi4-mini:3.8b-q4_K_M,english,PhD student,seeking an advisor,South Africa,5,Junior Professor,Computer Science,Artificial Intelligence,1,invalid,invalid
